title,description,venue,capacity,open_date,close_date,performance_dates,performance_times,upcoming_dates,upcoming_performances,seat_price,stand_price,currency,venue_url,booking_url,scrape_datetime
A Midsummer Night's Dream,"Experience A Midsummer Night's Dream at the Globe: a joyful, family-friendly night of mischief, wonder and transformation under starry, summer skies.",Bankside,N/A,SUN 24 MAY,SAT 29 AUGUST,SUN 24 MAY | TUE 26 MAY | WED 27 MAY | THU 28 MAY | FRI 29 MAY | FRI 29 MAY | SUN 31 MAY | SUN 31 MAY | TUE 2 JUNE | WED 3 JUNE | WED 3 JUNE | THU 4 JUNE | FRI 5 JUNE | FRI 5 JUNE | SUN 14 JUNE | SUN 14 JUNE | WED 17 JUNE | THU 18 JUNE | SAT 20 JUNE | SAT 20 JUNE | WED 24 JUNE | THU 25 JUNE | FRI 26 JUNE | SAT 27 JUNE | SUN 28 JUNE | TUE 30 JUNE | TUE 30 JUNE | THU 2 JULY | FRI 3 JULY | SAT 4 JULY | SUN 5 JULY | SUN 5 JULY | TUE 7 JULY | WED 8 JULY | THU 9 JULY | FRI 10 JULY | SUN 12 JULY | SUN 12 JULY | FRI 24 JULY | SAT 25 JULY | SAT 25 JULY | SUN 26 JULY | THU 30 JULY | THU 30 JULY | FRI 31 JULY | SAT 1 AUGUST | SAT 1 AUGUST | TUE 4 AUGUST | WED 5 AUGUST | FRI 7 AUGUST | SAT 8 AUGUST | SUN 9 AUGUST | SUN 9 AUGUST | MON 17 AUGUST | WED 19 AUGUST | THU 20 AUGUST | FRI 21 AUGUST | SAT 22 AUGUST | SAT 22 AUGUST | TUE 25 AUGUST | WED 26 AUGUST | THU 27 AUGUST | FRI 28 AUGUST | SAT 29 AUGUST,1:00 PM | 2:00 PM | 2:00 PM | 7:30 PM | 2:00 PM | 7:30 PM | 1:00 PM | 6:30 PM | 2:00 PM | 2:00 PM | 7:30 PM | 2:00 PM | 2:00 PM | 7:30 PM | 1:00 PM | 6:30 PM | 7:30 PM | 2:00 PM | 7:30 PM | N/A | 7:30 PM | 2:00 PM | 7:30 PM | 2:00 PM | 1:00 PM | 2:00 PM | 7:30 PM | 7:30 PM | 2:00 PM | 7:30 PM | 1:00 PM | 6:30 PM | 7:30 PM | 2:00 PM | 7:30 PM | 2:00 PM | 1:00 PM | 6:30 PM | 7:30 PM | 2:00 PM | 7:30 PM | 1:00 PM | 2:00 PM | 7:30 PM | 2:00 PM | 2:00 PM | 7:30 PM | 7:30 PM | 2:00 PM | 7:30 PM | 2:00 PM | 1:00 PM | 6:30 PM | 7:30 PM | 7:30 PM | 7:30 PM | 2:00 PM | 2:00 PM | 7:30 PM | 7:30 PM | 2:00 PM | 7:30 PM | 2:00 PM | 7:30 PM,SUN 24 MAY | TUE 26 MAY | WED 27 MAY | THU 28 MAY | FRI 29 MAY | FRI 29 MAY | SUN 31 MAY | SUN 31 MAY | TUE 2 JUNE | WED 3 JUNE | WED 3 JUNE | THU 4 JUNE | FRI 5 JUNE | FRI 5 JUNE | SUN 14 JUNE | SUN 14 JUNE | WED 17 JUNE | THU 18 JUNE | SAT 20 JUNE | SAT 20 JUNE | WED 24 JUNE | THU 25 JUNE | FRI 26 JUNE | SAT 27 JUNE | SUN 28 JUNE | TUE 30 JUNE | TUE 30 JUNE | THU 2 JULY | FRI 3 JULY | SAT 4 JULY | SUN 5 JULY | SUN 5 JULY | TUE 7 JULY | WED 8 JULY | THU 9 JULY | FRI 10 JULY | SUN 12 JULY | SUN 12 JULY | FRI 24 JULY | SAT 25 JULY | SAT 25 JULY | SUN 26 JULY | THU 30 JULY | THU 30 JULY | FRI 31 JULY | SAT 1 AUGUST | SAT 1 AUGUST | TUE 4 AUGUST | WED 5 AUGUST | FRI 7 AUGUST | SAT 8 AUGUST | SUN 9 AUGUST | SUN 9 AUGUST | MON 17 AUGUST | WED 19 AUGUST | THU 20 AUGUST | FRI 21 AUGUST | SAT 22 AUGUST | SAT 22 AUGUST | TUE 25 AUGUST | WED 26 AUGUST | THU 27 AUGUST | FRI 28 AUGUST | SAT 29 AUGUST,64,£75.00 - £25.00,£10.00,GBP,https://www.shakespearesglobe.com/whats-on/a-midsummer-nights-dream/,https://www.shakespearesglobe.com/whats-on/a-midsummer-nights-dream/#book,5/23/2026 15:17
A World Elsewhere: Family Workshop (5-8 years),"Explore the power of imagination, friendship, and fearless creativity through interactive games and storytelling activities inspired by the show.",Sam Wanamaker Playhouse,340,SAT 25 JULY,SUN 30 AUGUST,SAT 25 JULY | TUE 28 JULY | WED 29 JULY | THU 30 JULY | FRI 31 JULY | SAT 1 AUGUST | TUE 4 AUGUST | WED 5 AUGUST | THU 6 AUGUST | FRI 7 AUGUST | SAT 8 AUGUST | TUE 11 AUGUST | WED 12 AUGUST | THU 13 AUGUST | FRI 14 AUGUST | SAT 15 AUGUST | WED 19 AUGUST | FRI 21 AUGUST | SAT 22 AUGUST | THU 27 AUGUST | FRI 28 AUGUST | SAT 29 AUGUST | SUN 30 AUGUST,1:15 PM | 11:30 AM | 11:30 AM | 1:15 PM | 1:15 PM | 1:15 PM | 11:30 AM | 1:15 PM | 11:30 AM | 1:15 PM | 1:15 PM | 1:15 PM | 11:30 AM | 1:15 PM | 11:30 AM | 1:15 PM | 1:15 PM | 11:30 AM | 1:15 PM | 1:15 PM | 1:15 PM | 1:15 PM | 11:30 AM,SAT 25 JULY | TUE 28 JULY | WED 29 JULY | THU 30 JULY | FRI 31 JULY | SAT 1 AUGUST | TUE 4 AUGUST | WED 5 AUGUST | THU 6 AUGUST | FRI 7 AUGUST | SAT 8 AUGUST | TUE 11 AUGUST | WED 12 AUGUST | THU 13 AUGUST | FRI 14 AUGUST | SAT 15 AUGUST | WED 19 AUGUST | FRI 21 AUGUST | SAT 22 AUGUST | THU 27 AUGUST | FRI 28 AUGUST | SAT 29 AUGUST | SUN 30 AUGUST,23,N/A,N/A,GBP,https://www.shakespearesglobe.com/whats-on/a-world-elsewhere-workshop-5-8-years/,https://www.shakespearesglobe.com/whats-on/a-world-elsewhere-workshop-5-8-years/#book,5/23/2026 15:17
A World Elsewhere,"Join Splendid Productions at Shakespeare's Globe for A World Elsewhere: a family show about imagination, friendship, and the power of storytelling.",Bankside,N/A,SAT 25 JULY,SUN 30 AUGUST,SAT 25 JULY | SAT 25 JULY | TUE 28 JULY | WED 29 JULY | THU 30 JULY | THU 30 JULY | FRI 31 JULY | SAT 1 AUGUST | SAT 1 AUGUST | TUE 4 AUGUST | WED 5 AUGUST | WED 5 AUGUST | THU 6 AUGUST | FRI 7 AUGUST | SAT 8 AUGUST | SAT 8 AUGUST | TUE 11 AUGUST | WED 12 AUGUST | THU 13 AUGUST | THU 13 AUGUST | FRI 14 AUGUST | SAT 15 AUGUST | SAT 15 AUGUST | TUE 18 AUGUST | WED 19 AUGUST | WED 19 AUGUST | THU 20 AUGUST | FRI 21 AUGUST | SAT 22 AUGUST | SAT 22 AUGUST | WED 26 AUGUST | THU 27 AUGUST | THU 27 AUGUST | FRI 28 AUGUST | SAT 29 AUGUST | SAT 29 AUGUST | SUN 30 AUGUST,11:00 AM | 3:00 PM | 3:00 PM | 1:30 PM | 11:00 AM | 3:00 PM | 3:00 PM | 11:00 AM | 3:00 PM | 1:30 PM | 11:00 AM | 3:00 PM | 1:30 PM | 3:00 PM | 11:00 AM | 3:00 PM | 3:00 PM | 1:30 PM | 11:00 AM | 3:00 PM | 1:30 PM | 11:00 AM | 3:00 PM | 3:00 PM | 11:00 AM | 3:00 PM | 1:30 PM | 1:30 PM | 11:00 AM | 3:00 PM | 1:30 PM | 11:00 AM | 3:00 PM | 3:00 PM | 11:00 AM | 3:00 PM | 1:30 PM,SAT 25 JULY | SAT 25 JULY | TUE 28 JULY | WED 29 JULY | THU 30 JULY | THU 30 JULY | FRI 31 JULY | SAT 1 AUGUST | SAT 1 AUGUST | TUE 4 AUGUST | WED 5 AUGUST | WED 5 AUGUST | THU 6 AUGUST | FRI 7 AUGUST | SAT 8 AUGUST | SAT 8 AUGUST | TUE 11 AUGUST | WED 12 AUGUST | THU 13 AUGUST | THU 13 AUGUST | FRI 14 AUGUST | SAT 15 AUGUST | SAT 15 AUGUST | TUE 18 AUGUST | WED 19 AUGUST | WED 19 AUGUST | THU 20 AUGUST | FRI 21 AUGUST | SAT 22 AUGUST | SAT 22 AUGUST | WED 26 AUGUST | THU 27 AUGUST | THU 27 AUGUST | FRI 28 AUGUST | SAT 29 AUGUST | SAT 29 AUGUST | SUN 30 AUGUST,37,£35.00 - £15.00,N/A,GBP,https://www.shakespearesglobe.com/whats-on/a-world-elsewhere/,https://www.shakespearesglobe.com/whats-on/a-world-elsewhere/#book,5/23/2026 15:17
As You Like It,"See Sean Holmes' and Charlie Josephine's As You Like It at Shakespeare's Globe this Summer: a joyous comedy bursting with love, magic and music.",Globe Theatre,1570,FRI 14 AUGUST,SUN 25 OCTOBER,FRI 14 AUGUST | SAT 15 AUGUST | SUN 16 AUGUST | TUE 18 AUGUST | WED 19 AUGUST | THU 20 AUGUST | FRI 21 AUGUST | SUN 23 AUGUST | SUN 23 AUGUST | WED 9 SEPTEMBER | WED 9 SEPTEMBER | THU 10 SEPTEMBER | FRI 11 SEPTEMBER | FRI 11 SEPTEMBER | TUE 15 SEPTEMBER | WED 16 SEPTEMBER | THU 17 SEPTEMBER | FRI 18 SEPTEMBER | SUN 20 SEPTEMBER | SUN 20 SEPTEMBER | WED 23 SEPTEMBER | WED 23 SEPTEMBER | THU 24 SEPTEMBER | FRI 25 SEPTEMBER | SUN 27 SEPTEMBER | SUN 27 SEPTEMBER | TUE 29 SEPTEMBER | WED 30 SEPTEMBER | THU 1 OCTOBER | FRI 2 OCTOBER | FRI 2 OCTOBER | SUN 4 OCTOBER | SUN 4 OCTOBER | WED 7 OCTOBER | WED 7 OCTOBER | THU 8 OCTOBER | FRI 9 OCTOBER | SUN 11 OCTOBER | SUN 11 OCTOBER | WED 14 OCTOBER | WED 14 OCTOBER | THU 15 OCTOBER | FRI 16 OCTOBER | SUN 18 OCTOBER | SUN 18 OCTOBER | TUE 20 OCTOBER | WED 21 OCTOBER | FRI 23 OCTOBER | FRI 23 OCTOBER | SAT 24 OCTOBER | SUN 25 OCTOBER,7:30 PM | 7:30 PM | 6:30 PM | 7:30 PM | 2:00 PM | 2:00 PM | 7:30 PM | 1:00 PM | 6:30 PM | 2:00 PM | 7:30 PM | 2:00 PM | 7:30 PM | N/A | 7:30 PM | 2:00 PM | 7:30 PM | 2:00 PM | 1:00 PM | 6:30 PM | 2:00 PM | 7:30 PM | 2:00 PM | 7:30 PM | 1:00 PM | 6:30 PM | 7:30 PM | 2:00 PM | 7:30 PM | 2:00 PM | 7:30 PM | 1:00 PM | 6:30 PM | 2:00 PM | 7:30 PM | 2:00 PM | 7:30 PM | 1:00 PM | 6:30 PM | 2:00 PM | 7:30 PM | 2:00 PM | 7:30 PM | 1:00 PM | 6:30 PM | 7:30 PM | 2:00 PM | 2:00 PM | 7:30 PM | 2:00 PM | 1:00 PM,FRI 14 AUGUST | SAT 15 AUGUST | SUN 16 AUGUST | TUE 18 AUGUST | WED 19 AUGUST | THU 20 AUGUST | FRI 21 AUGUST | SUN 23 AUGUST | SUN 23 AUGUST | WED 9 SEPTEMBER | WED 9 SEPTEMBER | THU 10 SEPTEMBER | FRI 11 SEPTEMBER | FRI 11 SEPTEMBER | TUE 15 SEPTEMBER | WED 16 SEPTEMBER | THU 17 SEPTEMBER | FRI 18 SEPTEMBER | SUN 20 SEPTEMBER | SUN 20 SEPTEMBER | WED 23 SEPTEMBER | WED 23 SEPTEMBER | THU 24 SEPTEMBER | FRI 25 SEPTEMBER | SUN 27 SEPTEMBER | SUN 27 SEPTEMBER | TUE 29 SEPTEMBER | WED 30 SEPTEMBER | THU 1 OCTOBER | FRI 2 OCTOBER | FRI 2 OCTOBER | SUN 4 OCTOBER | SUN 4 OCTOBER | WED 7 OCTOBER | WED 7 OCTOBER | THU 8 OCTOBER | FRI 9 OCTOBER | SUN 11 OCTOBER | SUN 11 OCTOBER | WED 14 OCTOBER | WED 14 OCTOBER | THU 15 OCTOBER | FRI 16 OCTOBER | SUN 18 OCTOBER | SUN 18 OCTOBER | TUE 20 OCTOBER | WED 21 OCTOBER | FRI 23 OCTOBER | FRI 23 OCTOBER | SAT 24 OCTOBER | SUN 25 OCTOBER,51,£85.00 - £10.00,N/A,GBP,https://www.shakespearesglobe.com/whats-on/as-you-like-it/,https://www.shakespearesglobe.com/whats-on/as-you-like-it/#book,5/23/2026 15:17
The Globe Talks: As You Like It,"In a panel discussion and Q&A, join members of the show's creative team, as we delve into the world of As You Like It and explore its key themes.",Globe Theatre,1570,N/A,N/A,,,,0,N/A,N/A,GBP,https://www.shakespearesglobe.com/whats-on/globe-talks-as-you-like-it/,https://www.shakespearesglobe.com/whats-on/globe-talks-as-you-like-it/#book,5/23/2026 15:17
The Globe Talks: A Midsummer Night's Dream,Delve into the world of Shakespeare's most magical play and interrogate how we can experience such a well-known play afresh. Includes Q&A.,Bankside,N/A,N/A,N/A,,,,0,N/A,N/A,GBP,https://www.shakespearesglobe.com/whats-on/globe-talks-dream/,https://www.shakespearesglobe.com/whats-on/globe-talks-dream/#book,5/23/2026 15:17
The Globe Talks: Much Ado About Nothing,"In a panel discussion and Q&A, listen to members of the show's creative team, as we delve into the world of Much Ado About Nothing and explore its key themes.",Globe Theatre,1570,N/A,N/A,,,,0,N/A,N/A,GBP,https://www.shakespearesglobe.com/whats-on/globe-talks-much-ado/,https://www.shakespearesglobe.com/whats-on/globe-talks-much-ado/#book,5/23/2026 15:17
Love's Labour's Lost,"Shakespeare's Love's Labour's Lost at the Globe Theatre this summer: a flamenco-inspired, rarely staged comedy directed by Indiana Lown-Collins.",Globe Theatre,1570,FRI 17 JULY,SUN 13 SEPTEMBER,FRI 17 JULY | SAT 18 JULY | SUN 19 JULY | TUE 21 JULY | WED 22 JULY | THU 23 JULY | FRI 24 JULY | SUN 26 JULY | TUE 28 JULY | WED 29 JULY | WED 29 JULY | SUN 2 AUGUST | SUN 2 AUGUST | THU 6 AUGUST | FRI 7 AUGUST | SAT 8 AUGUST | FRI 28 AUGUST | SAT 29 AUGUST | SUN 30 AUGUST | SUN 30 AUGUST | WED 2 SEPTEMBER | THU 3 SEPTEMBER | FRI 4 SEPTEMBER | SAT 5 SEPTEMBER | SUN 6 SEPTEMBER | SUN 6 SEPTEMBER | TUE 8 SEPTEMBER | SAT 12 SEPTEMBER | SUN 13 SEPTEMBER | SUN 13 SEPTEMBER,7:30 PM | 7:30 PM | 6:30 PM | 7:30 PM | 7:30 PM | 7:30 PM | 2:00 PM | 6:30 PM | 7:30 PM | 2:00 PM | 7:30 PM | 1:00 PM | 6:30 PM | 7:30 PM | 2:00 PM | 7:30 PM | 7:30 PM | 2:00 PM | 1:00 PM | 6:30 PM | 2:00 PM | 7:30 PM | 7:30 PM | 7:30 PM | 1:00 PM | 6:30 PM | 7:30 PM | 7:30 PM | 1:00 PM | 6:30 PM,FRI 17 JULY | SAT 18 JULY | SUN 19 JULY | TUE 21 JULY | WED 22 JULY | THU 23 JULY | FRI 24 JULY | SUN 26 JULY | TUE 28 JULY | WED 29 JULY | WED 29 JULY | SUN 2 AUGUST | SUN 2 AUGUST | THU 6 AUGUST | FRI 7 AUGUST | SAT 8 AUGUST | FRI 28 AUGUST | SAT 29 AUGUST | SUN 30 AUGUST | SUN 30 AUGUST | WED 2 SEPTEMBER | THU 3 SEPTEMBER | FRI 4 SEPTEMBER | SAT 5 SEPTEMBER | SUN 6 SEPTEMBER | SUN 6 SEPTEMBER | TUE 8 SEPTEMBER | SAT 12 SEPTEMBER | SUN 13 SEPTEMBER | SUN 13 SEPTEMBER,30,£85.00 - £10.00,N/A,GBP,https://www.shakespearesglobe.com/whats-on/loves-labours-lost/,https://www.shakespearesglobe.com/whats-on/loves-labours-lost/#book,5/23/2026 15:17
Mother Courage and Her Children,"Michelle Terry leads in Anna Jordan's new Mother Courage And Her Children, Brecht's fierce, musical, anti-war protest play, directed by Elle While.",Globe Theatre,1570,SAT 23 MAY,SAT 27 JUNE,SAT 23 MAY | MON 25 MAY | TUE 26 MAY | WED 27 MAY | THU 28 MAY | SAT 30 MAY | SAT 30 MAY | MON 1 JUNE | TUE 2 JUNE | THU 4 JUNE | SAT 6 JUNE | SAT 6 JUNE | FRI 19 JUNE | SAT 20 JUNE | TUE 23 JUNE | WED 24 JUNE | THU 25 JUNE | FRI 26 JUNE | SAT 27 JUNE,7:30 PM | 7:30 PM | 7:30 PM | 7:30 PM | 2:00 PM | 2:00 PM | 7:30 PM | 7:30 PM | 7:30 PM | 7:30 PM | 2:00 PM | 7:30 PM | 2:00 PM | 2:00 PM | 7:30 PM | 2:00 PM | 7:30 PM | 2:00 PM | 7:30 PM,SAT 23 MAY | MON 25 MAY | TUE 26 MAY | WED 27 MAY | THU 28 MAY | SAT 30 MAY | SAT 30 MAY | MON 1 JUNE | TUE 2 JUNE | THU 4 JUNE | SAT 6 JUNE | SAT 6 JUNE | FRI 19 JUNE | SAT 20 JUNE | TUE 23 JUNE | WED 24 JUNE | THU 25 JUNE | FRI 26 JUNE | SAT 27 JUNE,19,£75.00 - £15.00,"£5.00, £10.00",GBP,https://www.shakespearesglobe.com/whats-on/mother-courage-and-her-children/,https://www.shakespearesglobe.com/whats-on/mother-courage-and-her-children/#book,5/23/2026 15:17
Much Ado About Nothing: Guided Tour,"Delve into the history, characters and themes of Shakespeare's comedy of wit and wooing on this unique Much Ado About Nothing themed Guided Tour of London's Globe Theatre.",Globe Theatre,1570,THU 11 JUNE,THU 22 OCTOBER,THU 11 JUNE | TUE 16 JUNE | THU 18 JUNE | TUE 7 JULY | TUE 28 JULY | TUE 1 SEPTEMBER | THU 10 SEPTEMBER | TUE 22 SEPTEMBER | TUE 6 OCTOBER | THU 8 OCTOBER | TUE 13 OCTOBER | THU 15 OCTOBER | THU 22 OCTOBER,5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM,THU 11 JUNE | TUE 16 JUNE | THU 18 JUNE | TUE 7 JULY | TUE 28 JULY | TUE 1 SEPTEMBER | THU 10 SEPTEMBER | TUE 22 SEPTEMBER | TUE 6 OCTOBER | THU 8 OCTOBER | TUE 13 OCTOBER | THU 15 OCTOBER | THU 22 OCTOBER,13,N/A,N/A,GBP,https://www.shakespearesglobe.com/whats-on/much-ado-about-nothing-guided-tour/,https://www.shakespearesglobe.com/whats-on/much-ado-about-nothing-guided-tour/#book,5/23/2026 15:17
Much Ado About Nothing,"Chelsea Walker reimagines Much Ado About Nothing as a sharp rom-com about status, desire and second chances at Shakespeare's Globe this summer.",Bankside,N/A,THU 11 JUNE,SAT 24 OCTOBER,THU 11 JUNE | FRI 12 JUNE | SAT 13 JUNE | MON 15 JUNE | TUE 16 JUNE | WED 17 JUNE | THU 18 JUNE | FRI 19 JUNE | MON 22 JUNE | TUE 23 JUNE | MON 29 JUNE | WED 1 JULY | WED 1 JULY | THU 2 JULY | FRI 3 JULY | SAT 4 JULY | MON 6 JULY | TUE 7 JULY | WED 8 JULY | THU 9 JULY | FRI 10 JULY | SAT 11 JULY | SAT 11 JULY | MON 20 JULY | THU 23 JULY | MON 27 JULY | TUE 28 JULY | FRI 31 JULY | FRI 31 JULY | MON 3 AUGUST | TUE 4 AUGUST | WED 5 AUGUST | THU 6 AUGUST | MON 24 AUGUST | TUE 25 AUGUST | WED 26 AUGUST | THU 27 AUGUST | MON 31 AUGUST | TUE 1 SEPTEMBER | TUE 1 SEPTEMBER | WED 2 SEPTEMBER | THU 3 SEPTEMBER | FRI 4 SEPTEMBER | SAT 5 SEPTEMBER | MON 7 SEPTEMBER | TUE 8 SEPTEMBER | THU 10 SEPTEMBER | FRI 11 SEPTEMBER | SAT 12 SEPTEMBER | TUE 15 SEPTEMBER | WED 16 SEPTEMBER | THU 17 SEPTEMBER | FRI 18 SEPTEMBER | SAT 19 SEPTEMBER | SAT 19 SEPTEMBER | MON 21 SEPTEMBER | TUE 22 SEPTEMBER | TUE 22 SEPTEMBER | THU 24 SEPTEMBER | FRI 25 SEPTEMBER | SAT 26 SEPTEMBER | SAT 26 SEPTEMBER | MON 28 SEPTEMBER | TUE 29 SEPTEMBER | WED 30 SEPTEMBER | THU 1 OCTOBER | SAT 3 OCTOBER | SAT 3 OCTOBER | MON 5 OCTOBER | TUE 6 OCTOBER | TUE 6 OCTOBER | THU 8 OCTOBER | FRI 9 OCTOBER | SAT 10 OCTOBER | SAT 10 OCTOBER | MON 12 OCTOBER | TUE 13 OCTOBER | TUE 13 OCTOBER | THU 15 OCTOBER | FRI 16 OCTOBER | SAT 17 OCTOBER | SAT 17 OCTOBER | MON 19 OCTOBER | TUE 20 OCTOBER | WED 21 OCTOBER | THU 22 OCTOBER | THU 22 OCTOBER | SAT 24 OCTOBER,7:30 PM | 7:30 PM | 7:30 PM | 7:30 PM | 7:30 PM | 2:00 PM | 7:30 PM | 7:30 PM | 7:30 PM | 2:00 PM | 7:30 PM | 2:00 PM | 7:30 PM | 2:00 PM | 7:30 PM | 2:00 PM | 7:30 PM | 2:00 PM | 7:30 PM | 2:00 PM | 7:30 PM | 2:00 PM | 7:30 PM | 7:30 PM | 2:00 PM | 7:30 PM | 2:00 PM | 7:30 PM | N/A | 7:30 PM | 2:00 PM | 7:30 PM | 2:00 PM | 7:30 PM | 2:00 PM | 7:30 PM | 2:00 PM | 7:30 PM | 2:00 PM | 7:30 PM | 7:30 PM | 2:00 PM | 2:00 PM | 2:00 PM | 7:30 PM | 2:00 PM | 7:30 PM | 2:00 PM | 2:00 PM | 2:00 PM | 7:30 PM | 2:00 PM | 7:30 PM | 2:00 PM | 7:30 PM | 7:30 PM | 2:00 PM | 7:30 PM | 7:30 PM | 2:00 PM | 2:00 PM | 7:30 PM | 7:30 PM | 2:00 PM | 7:30 PM | 2:00 PM | 2:00 PM | 7:30 PM | 7:30 PM | 2:00 PM | 7:30 PM | 7:30 PM | 2:00 PM | 2:00 PM | 7:30 PM | 7:30 PM | 2:00 PM | 7:30 PM | 7:30 PM | 2:00 PM | 2:00 PM | 7:30 PM | 7:30 PM | 2:00 PM | 7:30 PM | 2:00 PM | 7:30 PM | 7:30 PM,THU 11 JUNE | FRI 12 JUNE | SAT 13 JUNE | MON 15 JUNE | TUE 16 JUNE | WED 17 JUNE | THU 18 JUNE | FRI 19 JUNE | MON 22 JUNE | TUE 23 JUNE | MON 29 JUNE | WED 1 JULY | WED 1 JULY | THU 2 JULY | FRI 3 JULY | SAT 4 JULY | MON 6 JULY | TUE 7 JULY | WED 8 JULY | THU 9 JULY | FRI 10 JULY | SAT 11 JULY | SAT 11 JULY | MON 20 JULY | THU 23 JULY | MON 27 JULY | TUE 28 JULY | FRI 31 JULY | FRI 31 JULY | MON 3 AUGUST | TUE 4 AUGUST | WED 5 AUGUST | THU 6 AUGUST | MON 24 AUGUST | TUE 25 AUGUST | WED 26 AUGUST | THU 27 AUGUST | MON 31 AUGUST | TUE 1 SEPTEMBER | TUE 1 SEPTEMBER | WED 2 SEPTEMBER | THU 3 SEPTEMBER | FRI 4 SEPTEMBER | SAT 5 SEPTEMBER | MON 7 SEPTEMBER | TUE 8 SEPTEMBER | THU 10 SEPTEMBER | FRI 11 SEPTEMBER | SAT 12 SEPTEMBER | TUE 15 SEPTEMBER | WED 16 SEPTEMBER | THU 17 SEPTEMBER | FRI 18 SEPTEMBER | SAT 19 SEPTEMBER | SAT 19 SEPTEMBER | MON 21 SEPTEMBER | TUE 22 SEPTEMBER | TUE 22 SEPTEMBER | THU 24 SEPTEMBER | FRI 25 SEPTEMBER | SAT 26 SEPTEMBER | SAT 26 SEPTEMBER | MON 28 SEPTEMBER | TUE 29 SEPTEMBER | WED 30 SEPTEMBER | THU 1 OCTOBER | SAT 3 OCTOBER | SAT 3 OCTOBER | MON 5 OCTOBER | TUE 6 OCTOBER | TUE 6 OCTOBER | THU 8 OCTOBER | FRI 9 OCTOBER | SAT 10 OCTOBER | SAT 10 OCTOBER | MON 12 OCTOBER | TUE 13 OCTOBER | TUE 13 OCTOBER | THU 15 OCTOBER | FRI 16 OCTOBER | SAT 17 OCTOBER | SAT 17 OCTOBER | MON 19 OCTOBER | TUE 20 OCTOBER | WED 21 OCTOBER | THU 22 OCTOBER | THU 22 OCTOBER | SAT 24 OCTOBER,88,£85.00 - £25.00,£10.00,GBP,https://www.shakespearesglobe.com/whats-on/much-ado-about-nothing/,https://www.shakespearesglobe.com/whats-on/much-ado-about-nothing/#book,5/23/2026 15:17
A Midsummer Night's Dream: On Stage Family Workshop (9-11 years),"A fun, practical workshop on Shakespeare's A Midsummer Night's Dream, for children aged 9-11 and their grown-ups.",Bankside,N/A,N/A,N/A,,,,0,N/A,N/A,GBP,https://www.shakespearesglobe.com/whats-on/on-stage-midsummer-nights-dream-9-11/,https://www.shakespearesglobe.com/whats-on/on-stage-midsummer-nights-dream-9-11/#book,5/23/2026 15:18
